label,Filename
0,S90-AFb-209.txt
1,S26-VT-771.txt
0,S79-SR-610.txt
0,S46-SR-454.txt
0,S89-SR-125.txt
0,S80-SR-132.txt
1,S86-VT-220.txt
0,S79-VPD-98.txt
0,S15-SR-149.txt
1,S29-VT-309.txt
0,S26-SR-524.txt
0,S44-SR-109.txt
1,S29-VT-221.txt
1,S86-VT-630.txt
1,S35-VFb-319.txt
1,S64-VFb-261.txt
1,S73-VT-408.txt
0,S90-AFb-270.txt
0,S86-SR-19.txt
1,S93-VT-220.txt
1,S72-VT-101.txt
0,S94-SR-135.txt
1,S62-VT-408.txt
1,S50-VT-125.txt
1,S60-VT-612.txt
0,S20-SR-942.txt
0,S23-SR-15.txt
1,S73-VT-263.txt
1,S60-VT-583.txt
1,S65-VT-138.txt
1,S86-VT-572.txt
0,S15-SR-121.txt
1,S35-VT-376.txt
0,S53-SR-93.txt
0,S59-AFb-124.txt
1,S57-VT-170.txt
1,S50-VT-91.txt
1,S30-VT-156.txt
1,S86-VT-434.txt
1,S04-VFt-124.txt
1,S71-VT-343.txt
1,S60-VT-286.txt
0,S64-SR-281.txt
0,S28-SR-488.txt
0,S77-SR-378.txt
1,S77-VT-399.txt
0,S35-SR-570.txt
1,S25-VT-456.txt
0,S35-SR-172.txt
0,S28-SR-95.txt
0,S34-SR-177.txt
0,S26-SR-72.txt
0,S26-SR-613.txt
1,S06-VT-167.txt
0,S28-SR-104.txt
1,S06-VT-659.txt
0,S66-SR-107.txt
1,S81-VT-709.txt
0,S44-SR-483.txt
0,S26-SR-59.txt
0,S69-SR-224.txt
1,S86-VT-937.txt
1,S79-VT-495.txt
0,S20-SR-983.txt
1,S86-VT-1118.txt
0,S56-SR-268.txt
1,S79-VT-246.txt
1,S08-VT-291.txt
1,S73-VT-350.txt
0,S26-SR-302.txt
0,S56-SR-204.txt
1,S57-VT-40.txt
0,S90-VPD-120.txt
1,S77-VT-239.txt
0,S05-SR-18.txt
1,S62-VT-387.txt
1,S73-VT-139.txt
0,S69-SR-172.txt
1,S15-VT-635.txt
1,S35-VT-419.txt
1,S79-VT-325.txt
1,S06-VT-220.txt
1,S71-VT-285.txt
0,S58-SR-149.txt
1,S46-VT-217.txt
1,S64-VFb-402.txt
1,S07-VT-213.txt
0,S56-SVT-281.txt
0,S46-SR-452.txt
