label,Filename
0,S20-SR-951.txt
0,S94-SR-65.txt
0,S26-SR-648.txt
0,S57-AFb-10.txt
0,S46-SR-82.txt
1,S79-VT-139.txt
1,S85-VT-60.txt
0,S46-SR-256.txt
0,S20-SR-734.txt
1,S65-VT-323.txt
1,S95-VT-109.txt
1,S06-VT-248.txt
1,S81-VT-750.txt
1,S26-VT-849.txt
0,S35-SR-781.txt
1,S15-VT-902.txt
0,S62-SR-448.txt
0,S26-SR-571.txt
0,S20-SR-886.txt
0,S60-SR-73.txt
1,S56-VT-642.txt
0,S44-SR-168.txt
1,S60-VT-567.txt
1,S40-VT-21.txt
0,S06-AFt-17.txt
1,S93-VT-233.txt
0,S34-SR-171.txt
1,S81-VT-606.txt
0,S07-AFb-120.txt
1,S50-VT-228.txt
0,S17-SVT-189.txt
0,S35-SR-144.txt
0,S64-SR-171.txt
0,S17-SVT-224.txt
1,S72-VT-166.txt
0,S58-SR-160.txt
1,S62-VT-472.txt
0,S66-SR-30.txt
0,S43-SR-70.txt
1,S49-VT-246.txt
1,S08-VT-240.txt
0,S63-AFb-41.txt
1,S35-VT-909.txt
0,S35-SR-60.txt
1,S26-VT-716.txt
0,S37-SVT-190.txt
0,S66-SR-49.txt
0,S81-VPD-136.txt
0,S80-SR-54.txt
0,S31-SR-57.txt
0,S35-SR-152.txt
0,S25-SR-91.txt
1,S79-VT-491.txt
1,S60-VT-370.txt
0,S46-SR-13.txt
0,S94-SR-200.txt
1,S62-VT-523.txt
0,S28-SR-231.txt
0,S73-SR-1.txt
0,S59-AFb-68.txt
1,S65-VT-317.txt
0,S20-SR-870.txt
1,S81-VT-578.txt
1,S26-VT-782.txt
0,S71-SR-40.txt
0,S66-SR-10.txt
1,S24-VT-186.txt
0,S91-SR-110.txt
0,S28-SR-175.txt
1,S50-VT-143.txt
1,S73-VT-233.txt
1,S73-VT-231.txt
0,S35-SR-619.txt
1,S79-VT-216.txt
0,S80-SR-138.txt
1,S20-VT-1074.txt
0,S74-SR-52.txt
0,S28-SR-118.txt
0,S77-SR-305.txt
0,S10-SR-5.txt
0,S07-AFb-108.txt
0,S35-SR-228.txt
1,S62-VT-552.txt
1,S50-VT-261.txt
1,S20-VT-605.txt
0,S37-SVT-189.txt
1,S44-VFb-417.txt
0,S15-SR-87.txt
1,S50-VT-90.txt
1,S63-VT-196.txt
1,S08-VT-150.txt
0,S05-SR-182.txt
0,S34-SR-57.txt
0,S34-SR-15.txt
1,S80-VFb-181.txt
0,S60-SR-12.txt
1,S79-VT-272.txt
1,S56-VT-580.txt
0,S64-SR-27.txt
1,S08-VT-270.txt
1,S04-VFt-152.txt
0,S10-SR-324.txt
1,S74-VT-330.txt
0,S66-SR-78.txt
0,S93-SR-92.txt
1,S62-VT-268.txt
1,S88-VT-167.txt
1,S06-VT-655.txt
0,S89-SR-102.txt
0,S94-SR-497.txt
1,S62-VT-412.txt
0,S20-SR-782.txt
1,S81-VT-741.txt
0,S71-SR-240.txt
0,S45-VPD-162.txt
0,S81-SR-632.txt
0,S26-SR-624.txt
1,S65-VT-241.txt
1,S65-VT-415.txt
1,S95-VT-310.txt
0,S26-SR-65.txt
0,S28-SR-465.txt
1,S30-VT-354.txt
1,S57-VT-99.txt
0,S86-SR-35.txt
0,S45-VPD-99.txt
0,S35-SR-582.txt
1,S86-VT-235.txt
1,S06-VT-549.txt
1,S62-VT-406.txt
1,S45-VFb-264.txt
0,S49-VPD-76.txt
1,S46-VT-219.txt
1,S20-VT-301.txt
1,S65-VT-406.txt
0,S17-SR-46.txt
0,S28-SR-113.txt
1,S49-VT-227.txt
1,S06-VT-202.txt
1,S50-VT-212.txt
0,S20-SR-683.txt
1,S81-VT-465.txt
0,S44-SR-539.txt
0,S23-SR-96.txt
0,S06-AFt-97.txt
0,S35-SR-602.txt
1,S30-VT-197.txt
0,S20-SR-83.txt
0,S93-SR-142.txt
1,S85-VT-93.txt
0,S26-SR-483.txt
0,S25-SR-52.txt
0,S74-SR-271.txt
0,S20-SR-869.txt
1,S20-VT-566.txt
1,S65-VT-194.txt
1,S79-VT-295.txt
0,S07-AFb-3.txt
0,S72-SR-31.txt
1,S06-VT-577.txt
1,S29-VT-347.txt
0,S31-AFt-174.txt
1,S53-VFb-142.txt
1,S71-VT-337.txt
0,S45-VPD-38.txt
1,S65-VT-476.txt
1,S15-VT-712.txt
1,S06-VT-518.txt
1,S60-VT-447.txt
1,S26-VT-705.txt
0,S07-SR-274.txt
0,S15-SR-116.txt
1,S65-VT-228.txt
1,S15-VT-305.txt
1,S06-VT-562.txt
1,S26-VT-891.txt
0,S86-SR-60.txt
0,S26-SR-185.txt
1,S44-VFb-323.txt
1,S93-VT-182.txt
0,S88-SR-40.txt
1,S71-VT-176.txt
0,S20-SR-904.txt
0,S20-SR-23.txt
0,S04-SR-238.txt
0,S80-SR-13.txt
1,S62-VT-600.txt
1,S40-VFb-176.txt
1,S81-VT-297.txt
